OrchardDesc,PIN,Manager,OrchardGroup,Planting code,Variety,Root stock,Growing system,Row spacing,Tree spacing,# trees,Hectares,Growing method,Mgmt. area,Prod. site,Clearance,Tags (season)
IND - Riverbank Orchard,R1632,,Independent Sector,RBK VO,Rockit,MM102,,4.1,1.8,1149,0.847,Conventional,O,A,,
IND - Riverside,R1752,,Independent Sector,RIV-B1/1,Rockit,M793,,,,0,0,Conventional,,,,
IND - Riverside,R1752,,Independent Sector,RIV-B2/2,Rockit,M116,,4,2,0,0,Conventional,,,,
IND - Riverside,R1752,,Independent Sector,RIV-C1,Rockit,M26,,4,1.5,642,0.96,Conventional,C1,C,,
IND - Riverside,R1752,,Independent Sector,RIV-C1/1,Rockit,MM106,,5,3,0,0,Conventional,,,,
IND - Riverside,R1752,,Independent Sector,RIV-C1/2,Rockit,M26,,4,1.5,0,0,Conventional,,,,
IND - Riverside,R1752,,Independent Sector,RIV-D2/1,Rockit,M793,,4,2,0,0,Conventional,,,,
IND - Riverside,R1752,,Independent Sector,RIV-D2/2,Rockit,MM106,,4.5,2.5,0,0,Conventional,,,,
Raukawa,R1232,Todd Blackman,Havelock Sector,RRD A1,Rockit,CG202,FOPS,2.2,3,1363,1.03,Conventional,A,A,,
Raukawa,R1232,Todd Blackman,Havelock Sector,RRD A2,Rockit,CG202,FOPS,2.2,3,1086,0.87,Conventional,A,A,,
Raukawa,R1232,Todd Blackman,Havelock Sector,RRD A3,Rockit,CG202,FOPS,2.2,3,1223,0.96,Conventional,A,A,,
Raukawa,R1232,Todd Blackman,Havelock Sector,RRD A4,Rockit,CG202,FOPS,2.2,3,908,0.71,Conventional,A,A,,
Raukawa,R1232,Todd Blackman,Havelock Sector,RRD A5,Rockit,MM.106,Spindle,4,2.5,1727,1.4,Conventional,A,A,,
Raukawa,R1232,Todd Blackman,Havelock Sector,RRD B1,Rockit,MM.106,Spindle,4,2.5,2102,1.67,Conventional,B,B,,
Raukawa,R1232,Todd Blackman,Havelock Sector,RRD B2,Rockit,MM.106,Spindle,4,2.5,1384,1.08,Conventional,B,B,,
Raukawa,R1232,Todd Blackman,Havelock Sector,RRD B3,Rockit,MM.106,Spindle,4,2.5,1514,1.17,Conventional,B,B,,
Raukawa,R1232,Todd Blackman,Havelock Sector,RRD B4,Rockit,MM.106,Spindle,4,2.5,1499,1.25,Conventional,B,B,,
Raukawa,R1232,Todd Blackman,Havelock Sector,RRD C1,Rockit,MM.106,Spindle,4,2.5,1929,1.59,Conventional,C,C,,
Raukawa,R1232,Todd Blackman,Havelock Sector,RRD C2,Rockit,MM.106,Spindle,4,2.5,1007,0.79,Conventional,C,C,,
Raukawa,R1232,Todd Blackman,Havelock Sector,RRD C3,Rockit,MM.106,Spindle,4,2.5,760,0.65,Conventional,C,C,,
Raukawa,R1232,Todd Blackman,Havelock Sector,RRD C4,Rockit,MM.106,Spindle,4,2.5,538,0.41,Conventional,C,C,,
IND - Watson Road,R2447,,Independent Sector,RWR A1,Rockit,M.9,Spindle,3,1.4,2380,1,Conventional,A,A,,
